twitter_account;companies;location;nb_of_followers;url;about
;ENvironnement JEUnesse;Montréal, Québec;1763;https://www.linkedin.com/company/964085/about/;ENvironnement JEUnesse conscientise les jeunes du Québec aux enjeux environnementaux, les outille à travers ses projets éducatifs et les incite à agir dans leur milieu.
;ENVEA Group;POISSY;2089;https://www.linkedin.com/company/774013/about/;"ENVEA (the new corporate name of Environnement S.A), the leading European manufacturer of on-line environmental monitors whose headquarters are based in Poissy (France), has been a Public company since January 2006, is listed on Euronext Growth. Founded in 1978, the Group provides monitoring solutions in the fields of air quality, industrial process control and emission, engine gas, water quality and radionuclide. These solutions designed and produced throughout the different companies of the Group are promoted since January 2018 under the trademark envea™. (www.envea.global)

ENVEA Group includes a variety of companies that all proudly represent our shared beliefs and innovation values:
- ENVEA Altech Environment USA
- ENVEA UK (ex PCME)
- ENVEA Environnement India Pvt Ltd
- ENVEA Environnement China Ltd
- ENVEA Deutschland
- ENVEA Environnement Italia Spa
- ENVEA iseo Environnement
- ENVEA Cairpol
- ENVEA OTI Industrie
- ENVEA TDL Sensors Ltd
- ENVEA SWR Engineering Messtechnik
- ENVEA Mercury Instruments

Partnering with ENVEA ensures high value relations through proven solutions which meet regulatory compliance, improve environmental performance, control and assist in reducing costs:
- Internationally Certified and Approved solutions
- Comprehensive experience of supplying turnkey solutions
- Integrated systems to achieve regulatory compliance, with process control and optimisation benefits
- Established worldwide service and support network

Our worldwide references guarantee a perfect understanding of your needs and ability to manage a vast range of applications, be it air quality monitors measuring the pollution of cities worldwide, emissions and process optimisation in all industries including waste incinerators, power generation plants, chemical & petrochemical industries, cement plants, glass manufacturing, metal factories, paper mills, engine manufacturers, etc."
;Environnement Recycling;Domérat;726;https://www.linkedin.com/company/9181074/about/;"NOTRE METIER : LE RECYCLAGE ET LA VALORISATION DES EQUIPEMENTS ELECTRIQUES ET ELECTRONIQUES. 

- Une prise en charge de tous les D3E / DEEE : petit et gros électroménager, informatique, tubes cathodiques. 
- Une intervention à tous les niveaux : gestion directe de la collecte, du démantèlement, du traitement et de la valorisation. 
- Des solutions adaptées et personnalisées pour : les PME - PMI, les Grands Groupes, les distributeurs, les hébergeurs…


NOS VALEURS : LA PERFORMANCE ET LA RSE.

- La démarche de responsabilité sociétale et environnementale est inscrite dans notre ADN depuis notre création en 2003. 
- Environnement Recycling est partenaire des éco-organismes français du D3E et a développé des process performants pour répondre à des cahiers des charges stricts et exigeants. 

Les priorités données par Environnement Recycling à la qualité des process mis en œuvre, ainsi qu’à l’environnement, à la santé et à l’accompagnement social de ses salariés, lui valent d’être certifiée par l’AFNOR : 
- ISO 9001 (management de la Qualité) ; 
- ISO 14001 (management Environnemental) ;
- OHSAS 18001  (management de la Santé et de la Sécurité au Travail). 

Environnement Recycling est fière d’être une entreprise à la fois performante, responsable et citoyenne.


NOS ATOUTS : UN SITE UNIQUE ET DES TECHNOLOGIES DE POINTE.

- Toutes nos activités sont regroupées sur un site unique, à Domerat dans l’Allier, afin de rationaliser les coûts et d’optimiser le bilan carbone en limitant les trajets. 
- Une technologie de pointe avec des process garantissant une revalorisation matière de plus de 90%. 
- Une traçabilité complète des déchets tout au long du processus de recyclage grâce au développement de notre propre système de traçabilité."
;Environnement XM Coop;Montreal, QC;710;https://www.linkedin.com/company/2967618/about/;"Environnement XM est une coopérative de professionnels de l'environnement. Réunissant ingénieurs, biologistes, ingénieur forestier,architectes du paysage, techniciens, chimistes et autres spécialistes, EXM offre ses services dans les domaines de la gestion des eaux et des rivières, le traitement des effluents, la production d'énergies renouvelables et la construction durable et écologique. Née au Québec , EXM est aujourd'hui implantée au Canada, en France et au Brésil. 
Notre clientèle variée inclue entreprises, industries, municipalité, ministères et organisme gouvernementaux nous fait confiance pour des projet aussi divers que la gestion urbaine des eaux pluviales, la gestion des eaux et des talus dans les sites miniers, la restauration hydromorphologique de cours d'eau et l'utilisation de techniques de génie végétal pour la stabilisation de talus et de rive, la conversion de moulins anciens et leur intégration environnementale et paysagère"
;Environnement routier NRJ;Lachine, Québec;396;https://www.linkedin.com/company/2806551/about/;"Fondée en 1964 sous la raison sociale Legault et Touchette inc., Environnement routier NRJ s’est toujours adaptée aux exigences des secteurs de la construction et de l’entretien en réalisant des travaux de grande qualité. C’est ainsi que l’entreprise a accumulé, en près de 50 ans d’existence, une expertise indéniable et une réputation enviable qui découlent également de sa polyvalence, de sa rapidité d’exécution et de sa gestion efficace. De plus, Environnement routier NRJ préconise une approche partenariale, structurée et rigoureuse où tout est planifié avec minutie.

À l’origine spécialisée dans les travaux d’aqueduc et d’égout, l’entreprise a, au fil du temps, ajouté de nombreuses cordes à son arc en procédant à un certain nombre de restructurations et d’acquisitions stratégiques, ce qui lui a aussi permis de s’orienter davantage vers l’entretien et les services municipaux. Environnement routier NRJ a aussi été homologuée ISO 9000 en 1997, puis ISO 9001 en 2000"
;Environnement-magazine.fr;;504;https://www.linkedin.com/company/10345350/about/;Environnement-magazine.fr, le site d'information spécialisée sur l'environnement et le développement durable. Retrouvez toute l'actualité eau, déchets, énergies renouvelables, cleantech... avec les rédactions des publications leaders sur ces secteurs : Hydroplus, Recyclage Récupération, Environnement Magazine, Droit de l'Environnement et Environnement & Énergie.
;Environnement LCL inc.;Granby, Québec;447;https://www.linkedin.com/company/1996598/about/;"LCL Environnement Enr. a été fondée en 2006 par Samuel Trépanier, hydrogéologue et membre de l’Ordre des Géologues du Québec (O.G.Q.). Le siège social de la compagnie est basé dans la municipalité de Granby. L'incorporation de l’entreprise a été complétée en septembre 2009 et a permis une nouvelle nomination : Environnement LCL inc. 

 Environnement LCL inc. offre une multitude de services de consultation environnementale dans le domaine de la contamination des sols, de l’eau souterraine et de l’air; ainsi que dans le domaine du traitement des eaux usées et de l’eau potable au niveau résidentiel, commercial et industriel. Il est à noter que le détail des services apparaît au site web de l’entreprise (www.lclenvironnement.com) 

 Depuis avril 2010, Environnement LCL inc. acquit une nouvelle succursale sur la Rive-sud de Montréal, soit dans la région de Mercier. Il est à noter que l'entreprise a également procédé à l'embauche d'un biologiste sherbrookois, en 2012, permettant du coup la mise en place d'une succursale dans la région de l'Estrie.

 Le personnel de gestion et de chantier du siège social de Granby et des bureaux de la Rive-Sud et de l'Estrie est mobilisable d’un endroit à l’autre et les différents champs d’expertise mentionnés précédemment s’appliquent aux différentes régions. Ainsi, Environnement LCL inc. est en mesure de couvrir les régions suivantes : 

• Montréal et Laval;
• Rive-sud de Montréal;
• Montérégie;
• Estrie;
• Centre du Québec; et
• Laurentides, Lanaudières et Outaouais.

 Environnement LCL inc. est reconnue de ses pairs quant à sa capacité et son implication au niveau du référencement. L'entreprise est proactive dans la mise à jour d'informations immobilières dans chacune des régions mentionnées ici-haut et engagée dans le référencement et le réseautage."
;ENVIRONNEMENT ITALIA SPA - gruppo enveaTM;Seregno, MB;346;https://www.linkedin.com/company/3062146/about/;"Società filiale Italiana del gruppo envea (nuovo nome di Environnement SA), storico marchio internazionale nel campo della strumentazione per il monitoraggio automatico dell’inquinamento ambientale.
ENVEA PRODUCT RANGE, envea PCME, envea SWR ENGINEERING, envea MERCURY INSTRUMENTS,  envea TDL SENSORS, envea CAIRPOL
 
Il gruppo ENVIRONNEMENT è impegnato nella ricerca e sviluppo con produzione e commercializzazione di strumentazione analitica automatica per il controllo in continuo delle emissioni industriali e dell’inquinamento ambientale:
-Monitoraggio dell’inquinamento atmosferico
-Monitoraggio Emissioni e Gas di Processo
-Monitoraggio, misura e controllo di POLVERI e PORTATE
-Campionamento delle Diossine e Furani e del Mercurio
-Monitoraggio delle esalazioni industriali (odori molesti)
-Monitoraggio della portata, presenza ed umidità dei corpi solidi
-Analisi delle Emissioni motori
-Analisi del Mercurio alle emissioni ed al Processo
ENVIRONNEMENT progetta e produce la linea di analizzatori per il monitoraggio dell’inquinamento atmosferico più completa di qualunque altro costruttore del settore, con particolare attenzione agli sviluppi tecnologici e normativi.
La ns società propone soluzioni complete “chiavi in mano” o singoli analizzatori per la misura di SO2, H2S, Solfuri Totali TRS, NOX, NH3, CO, O3……..DOAS, Tecnologia ad Ionizzazione di Fiamma (FID) per la misura di COT (Idrocarburi Totali, Metano ecc..) analizzatori di BTEX con rivelatore FID o PID (Benzene, Toluene, Etilbenzene e Xileni) ed i Precursori dell’Ozono, misuratori automatici di Polveri Totali, PM10, PM 2,5 e PM1, sia secondo i metodi di riferimento che con l’innovativo sistema ottico CPM (Continuos Particulate Monitoring) per la misura continua e contemporanea di PM10, PM2,5 e PM1."
;Séché Environnement;Changé, Pays de la Loire;4588;https://www.linkedin.com/company/5369752/about/;"Premier opérateur indépendant des services à l'environnement, Séché Environnement inscrit son développement dans une logique d'économie circulaire, qui permet d'extraire des déchets les flux d'énergies et de matières qu'ils contiennent, en développant des solutions techniques adaptés aux besoins des territoires.
Les métiers sont également tournés vers la gestion des déchets non recyclables, qu'ils soient dangereux ou non dangereux, afin de préserver l'environnement et la santé publique.
Présent en France et à l'international, le Groupe compte une quarantaine de sites en France, et dispose d'implantations dans 15 pays. Les équipes de spécialistes peuvent aussi intervenir, partout dans le monde, dans le cadre d'opérations de dépollution ou encore de traitement de déchets très complexes. 

Les valeurs du Groupe répondent aux enjeux d'un développement durable, et permettent de concilier préservation de l'environnement et des ressources, dynamique économique et intégration de l'ensemble des parties prenantes.

Choisir Séché Environnement c'est rejoindre un Groupe à envergure internationale qui propose une grande diversité de métiers.
C'est aussi intégrer des équipes à taille humaine, qui partagent la même passion de l’excellence, où chacun peut faire preuve d’autonomie et gagner en responsabilité
C'est enfin partager une ambition commune, à haut niveau d’exigence, au service du bien-être de tous"
;Réseau Environnement;Montreal, Québec;7288;https://www.linkedin.com/company/2382510/about/;"Réseau Environnement est un organisme à but non lucratif issu de la fusion de deux associations créées il y a près de 50 ans.

L'Association compte plus de 2000 membres, 400 entreprises, 200 municipalités, ainsi qu'une vingtaine d'organismes gouvernementaux et parapublics.

La mission de l’Association est de regrouper des spécialistes de l’environnement, des gens d’affaires, des municipalités et des industries du Québec afin d’assurer, dans une perspective de développement durable, l’avancement des technologies et de la science, la promotion des expertises et le soutien des activités en environnement, en favorisant et en encourageant :

•les échanges techniques et commerciaux 
•la diffusion des connaissances techniques 
•le suivi de la réglementation 
•la représentation auprès des décideurs 
•l'assistance auprès des marchés interne et externe"
